date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
11.04.2018;1;4;5;6;7;25;39;2;EUR;2697294,70;4;EUR;50064,90;310;EUR;704,70;380;EUR;172,40;12898;EUR;28,20;9844;EUR;16,60;149551;EUR;4,40;380886;EUR;1,20;
15.04.2018;3;10;13;20;24;45;21;JP;;804984,40;JP;;110685,30;117;EUR;1032,00;240;EUR;150,90;5220;EUR;38,50;6348;EUR;14,20;78619;EUR;4,60;217840;EUR;1,20;
18.04.2018;12;14;17;39;40;45;19;1;EUR;1677849,80;DJP;;230704,30;98;EUR;1336,00;230;EUR;170,70;4193;EUR;52,00;5797;EUR;16,90;71982;EUR;5,40;237380;EUR;1,20;
22.04.2018;7;8;24;26;41;45;19;1;EUR;1000000,00;1;EUR;335890,90;80;EUR;1434,30;213;EUR;161,60;3770;EUR;50,70;5980;EUR;14,30;66044;EUR;5,20;199714;EUR;1,20;
25.04.2018;3;8;36;40;43;44;23;JP;;632753,90;1;EUR;87003,60;53;EUR;1790,80;167;EUR;170,50;3049;EUR;51,80;4473;EUR;15,90;52717;EUR;5,40;165735;EUR;1,20;
29.04.2018;2;18;29;30;32;43;28;DJP;;1547435,80;1;EUR;125768,70;92;EUR;1491,30;177;EUR;232,50;4245;EUR;53,80;6041;EUR;17,00;72554;EUR;5,70;256503;EUR;1,20;
02.05.2018;9;19;26;28;31;42;22;1;EUR;2480992,30;1;EUR;128364,00;115;EUR;1217,60;267;EUR;157,30;5238;EUR;44,50;6764;EUR;15,50;82549;EUR;5,10;247081;EUR;1,20;
06.05.2018;2;19;23;37;42;44;38;JP;;771072,10;2;EUR;53011,20;67;EUR;1726,20;156;EUR;222,40;3598;EUR;53,50;4526;EUR;19,10;60461;EUR;5,70;187097;EUR;1,20;
09.05.2018;9;15;17;21;33;36;29;1;EUR;1648077,90;5;EUR;24117,60;158;EUR;832,60;394;EUR;100,10;6196;EUR;35,30;7439;EUR;13,20;83427;EUR;4,70;219002;EUR;1,20;
13.05.2018;3;4;5;16;17;20;19;1;EUR;1000000,00;5;EUR;20512,50;110;EUR;1017,10;259;EUR;129,50;5073;EUR;36,70;6641;EUR;12,60;77188;EUR;4,30;187667;EUR;1,20;
16.05.2018;8;17;24;28;29;40;25;JP;;664349,30;3;EUR;30449,30;71;EUR;1403,50;176;EUR;169,80;3639;EUR;45,60;4730;EUR;15,80;61190;EUR;4,90;161499;EUR;1,20;
20.05.2018;1;9;23;28;41;43;39;DJP;;1598011,90;3;EUR;42792,80;114;EUR;1228,50;261;EUR;160,90;4903;EUR;47,60;6575;EUR;15,90;81193;EUR;5,20;237171;EUR;1,20;
23.05.2018;9;13;15;16;24;33;18;3JP;;2473400,50;4;EUR;30091,40;99;EUR;1326,30;252;EUR;156,30;4817;EUR;45,40;6277;EUR;15,60;80079;EUR;4,90;218857;EUR;1,20;
27.05.2018;10;11;23;27;29;37;36;4JP;;3686827,00;4;EUR;41711,50;118;EUR;1542,40;318;EUR;171,70;6840;EUR;44,30;8383;EUR;16,20;113495;EUR;4,80;294322;EUR;1,20;
30.05.2018;1;4;19;22;30;33;20;2;EUR;2559318,50;1;EUR;196873,80;184;EUR;1167,20;438;EUR;147,10;8204;EUR;43,60;10761;EUR;14,90;131531;EUR;4,90;364721;EUR;1,20;
03.06.2018;12;16;20;25;32;36;3;JP;;748379,40;4;EUR;25725,50;74;EUR;1516,90;216;EUR;155,90;3515;EUR;53,20;5834;EUR;14,40;58959;EUR;5,70;236842;EUR;1,20;
06.06.2018;12;15;28;29;32;43;42;1;EUR;1604010,10;2;EUR;58824,60;98;EUR;1309,60;237;EUR;162,40;4593;EUR;46,50;5658;EUR;17,00;73551;EUR;5,20;205582;EUR;1,20;
10.06.2018;20;21;28;29;35;37;39;JP;;776017,90;1;EUR;106702,40;56;EUR;2078,60;204;EUR;171,10;3724;EUR;52,00;5458;EUR;15,90;62191;EUR;5,60;197030;EUR;1,20;
13.06.2018;12;16;23;30;38;43;14;DJP;;1618145,10;JP;;115792,40;77;EUR;1640,50;178;EUR;212,80;4020;EUR;52,30;5248;EUR;18,00;68447;EUR;5,50;218792;EUR;1,20;
17.06.2018;4;9;10;12;13;32;27;1;EUR;2694434,10;1;EUR;263782,20;118;EUR;1368,10;385;EUR;125,80;6251;EUR;43,00;9556;EUR;12,60;101299;EUR;4,80;290493;EUR;1,20;
20.06.2018;3;6;16;27;32;39;29;1;EUR;1000000,00;JP;;88561,30;88;EUR;1097,80;234;EUR;123,80;3940;EUR;40,80;5574;EUR;12,90;62390;EUR;4,60;161510;EUR;1,20;
24.06.2018;20;23;28;38;43;45;41;JP;;745601,30;1;EUR;191081,50;68;EUR;1644,70;209;EUR;160,50;4026;EUR;46,20;4997;EUR;16,70;60034;EUR;5,60;182363;EUR;1,20;
27.06.2018;8;15;26;28;37;44;43;DJP;;1561455,30;2;EUR;56089,90;117;EUR;1045,90;210;EUR;174,80;4320;EUR;47,20;5352;EUR;17,10;70693;EUR;5,20;199214;EUR;1,20;
01.07.2018;5;6;8;10;17;30;29;2;EUR;1324911,30;5;EUR;29930,10;238;EUR;685,90;468;EUR;104,60;8696;EUR;31,20;9692;EUR;12,60;117562;EUR;4,10;273281;EUR;1,20;
04.07.2018;6;8;29;30;34;36;26;1;EUR;1000000,00;4;EUR;23588,40;63;EUR;1633,80;189;EUR;163,30;3288;EUR;52,10;5202;EUR;14,80;58233;EUR;5,30;183404;EUR;1,20;
08.07.2018;8;9;18;39;41;45;13;JP;;770801,80;JP;;105985,20;90;EUR;1284,60;186;EUR;186,40;3925;EUR;49,00;5197;EUR;16,60;65441;EUR;5,30;205209;EUR;1,20;
11.07.2018;27;29;36;41;44;45;32;DJP;;1611267,30;3;EUR;73849,70;85;EUR;1483,10;244;EUR;155,00;4059;EUR;51,70;5548;EUR;17,00;68515;EUR;5,50;204934;EUR;1,20;
15.07.2018;15;29;37;42;43;45;40;1;EUR;2687466,60;2;EUR;73988,70;106;EUR;1522,90;329;EUR;147,20;5402;EUR;49,80;8396;EUR;14,40;86307;EUR;5,60;280513;EUR;1,20;
18.07.2018;7;10;22;24;27;43;40;1;EUR;1000000,00;1;EUR;87332,80;81;EUR;1176,20;185;EUR;154,40;3847;EUR;41,20;4759;EUR;15,00;62330;EUR;4,60;148811;EUR;1,20;
22.07.2018;2;6;13;21;28;37;42;2;EUR;500000,00;1;EUR;100885,40;103;EUR;1068,50;210;EUR;157,20;4240;EUR;43,20;5346;EUR;15,40;67086;EUR;4,90;174292;EUR;1,20;
25.07.2018;10;18;26;31;32;37;19;JP;;611501,00;3;EUR;28027,10;44;EUR;2084,60;130;EUR;211,60;2616;EUR;58,40;3709;EUR;18,50;46151;EUR;5,90;175587;EUR;1,20;
29.07.2018;2;3;6;29;33;40;21;DJP;;1490151,20;3;EUR;40271,40;99;EUR;1331,20;284;EUR;139,20;4631;EUR;47,40;7273;EUR;13,50;81413;EUR;4,80;225153;EUR;1,20;
01.08.2018;14;16;28;29;36;42;27;3JP;;2416134,00;4;EUR;31830,60;84;EUR;1653,50;250;EUR;166,60;4633;EUR;49,90;6879;EUR;15,10;77343;EUR;5,40;268934;EUR;1,20;
05.08.2018;10;17;23;24;34;42;39;5;EUR;724552,30;4;EUR;41477,80;126;EUR;1436,40;327;EUR;166,00;6385;EUR;47,20;8811;EUR;15,40;103224;EUR;5,20;309981;EUR;1,20;
08.08.2018;1;12;25;35;37;45;28;1;EUR;1000000,00;5;EUR;17331,70;83;EUR;1139,00;170;EUR;166,80;3413;EUR;46,10;4030;EUR;17,50;51313;EUR;5,50;181527;EUR;1,20;
12.08.2018;12;26;36;38;41;45;5;JP;;723807,40;JP;;99523,50;67;EUR;1620,40;188;EUR;173,20;3500;EUR;51,70;5108;EUR;15,90;57287;EUR;5,70;226545;EUR;1,20;
15.08.2018;9;19;30;34;35;42;43;DJP;;1463395,80;2;EUR;100608,40;66;EUR;1680,80;166;EUR;200,40;3486;EUR;53,00;4763;EUR;17,40;59878;EUR;5,50;184194;EUR;1,20;
19.08.2018;2;11;14;22;23;44;36;1;EUR;2491463,70;5;EUR;28271,80;127;EUR;1214,20;308;EUR;150,20;5901;EUR;43,50;7151;EUR;16,10;94090;EUR;4,90;253994;EUR;1,20;
22.08.2018;20;21;22;24;30;43;36;JP;;615304,40;1;EUR;84604,30;60;EUR;1538,20;133;EUR;208,10;3048;EUR;50,40;3683;EUR;18,70;48776;EUR;5,70;144682;EUR;1,20;
26.08.2018;1;18;22;23;30;32;34;DJP;;1511801,30;2;EUR;61634,10;77;EUR;1746,40;226;EUR;178,50;4321;EUR;51,80;5683;EUR;17,70;73056;EUR;5,50;220065;EUR;1,20;
29.08.2018;14;16;24;30;31;45;18;3JP;;2434453,00;JP;;126864,60;93;EUR;1488,10;204;EUR;203,50;4327;EUR;53,30;5731;EUR;18,10;72483;EUR;5,70;238639;EUR;1,20;
02.09.2018;2;15;16;31;37;45;21;4JP;;3705922,90;8;EUR;37711,40;118;EUR;1616,20;310;EUR;184,50;6025;EUR;52,70;8077;EUR;17,70;100207;EUR;5,70;355940;EUR;1,20;
05.09.2018;5;8;15;26;40;42;29;5JP;;5148933,60;11;EUR;18037,60;203;EUR;1066,20;514;EUR;126,30;8440;EUR;42,70;11717;EUR;13,80;133679;EUR;4,80;373388;EUR;1,20;
09.09.2018;4;8;12;18;24;39;29;6JP;;7174599,40;10;EUR;27852,90;321;EUR;946,50;669;EUR;136,20;12509;EUR;40,40;16181;EUR;14,00;190453;EUR;4,80;530381;EUR;1,20;
12.09.2018;8;12;20;23;37;42;19;2;EUR;5132100,00;9;EUR;47202,20;360;EUR;1287,30;893;EUR;155,60;16895;EUR;45,70;21841;EUR;15,90;267517;EUR;5,20;825354;EUR;1,20;
16.09.2018;8;10;14;23;43;44;32;JP;;797264,80;3;EUR;36541,30;79;EUR;1513,70;224;EUR;160,10;3858;EUR;51,60;5663;EUR;15,80;67384;EUR;5,30;189811;EUR;1,20;
19.09.2018;1;10;24;25;39;45;27;1;EUR;1670352,00;4;EUR;30012,30;110;EUR;1190,50;247;EUR;159,00;4621;EUR;47,20;6481;EUR;15,10;74894;EUR;5,20;253434;EUR;1,20;
23.09.2018;9;13;14;29;39;44;16;JP;;770556,60;JP;;105951,50;85;EUR;1359,80;180;EUR;192,60;4170;EUR;46,10;5140;EUR;16,80;66392;EUR;5,20;203465;EUR;1,20;
26.09.2018;1;4;5;11;15;33;40;DJP;;1605171,90;1;EUR;220711,10;122;EUR;1026,10;239;EUR;157,10;5683;EUR;36,70;5993;EUR;15,60;87707;EUR;4,30;202786;EUR;1,20;
30.09.2018;2;6;9;17;35;38;42;3JP;;2684673,50;2;EUR;74215,70;155;EUR;1044,60;324;EUR;149,90;6503;EUR;41,50;7723;EUR;15,70;101544;EUR;4,80;259514;EUR;1,20;
03.10.2018;3;10;23;27;28;41;24;2;EUR;1944705,20;5;EUR;33130,20;170;EUR;1063,00;360;EUR;150,50;8117;EUR;37,10;9113;EUR;14,80;121154;EUR;4,40;304599;EUR;1,20;
07.10.2018;22;24;27;34;35;44;30;JP;;777847,50;JP;;106954,00;68;EUR;1715,80;165;EUR;212,10;3792;EUR;51,20;4642;EUR;18,80;65037;EUR;5,40;210256;EUR;1,20;
10.10.2018;16;23;37;40;44;45;15;DJP;;1656789,80;2;EUR;113904,20;60;EUR;2197,30;195;EUR;202,80;3985;EUR;55,10;5522;EUR;17,90;68839;EUR;5,70;241925;EUR;1,20;
14.10.2018;6;7;18;27;33;38;5;3JP;;2738589,30;3;EUR;49582,40;125;EUR;1298,10;314;EUR;155,00;6021;EUR;44,90;8302;EUR;14,60;98780;EUR;4,90;305874;EUR;1,20;
17.10.2018;1;9;20;24;29;31;18;1;EUR;3905735,50;5;EUR;32096,50;172;EUR;1017,80;353;EUR;148,70;6563;EUR;44,40;8676;EUR;15,10;103927;EUR;5,00;292521;EUR;1,20;
21.10.2018;10;14;16;22;35;44;38;JP;;757347,50;1;EUR;104135,20;86;EUR;1320,90;213;EUR;160,00;3872;EUR;48,80;5081;EUR;16,70;64442;EUR;5,30;176815;EUR;1,20;
24.10.2018;1;7;10;12;21;24;23;1;EUR;1590988,70;4;EUR;28656,40;177;EUR;706,40;366;EUR;102,40;6841;EUR;30,40;7665;EUR;12,20;90775;EUR;4,10;214778;EUR;1,20;
28.10.2018;12;19;22;26;35;37;15;JP;;703355,00;4;EUR;24177,80;70;EUR;1507,10;229;EUR;138,20;3455;EUR;50,80;5266;EUR;15,00;58407;EUR;5,40;185134;EUR;1,20;
31.10.2018;6;7;13;24;27;38;37;DJP;;1593450,60;4;EUR;30597,00;114;EUR;1171,10;282;EUR;142,00;5792;EUR;38,40;6472;EUR;15,40;85629;EUR;4,70;202358;EUR;1,20;
04.11.2018;9;10;15;26;31;38;29;3JP;;2621800,00;2;EUR;70699,00;121;EUR;1274,80;286;EUR;161,80;5268;EUR;48,80;7781;EUR;14,80;87645;EUR;5,30;262001;EUR;1,20;
07.11.2018;3;14;26;27;41;42;12;4JP;;3827080,80;4;EUR;41431,50;133;EUR;1359,30;384;EUR;141,20;6413;EUR;46,90;9077;EUR;14,90;107008;EUR;5,00;330209;EUR;1,20;
11.11.2018;13;14;22;33;34;43;30;5JP;;5412489,70;4;EUR;54498,40;167;EUR;1424,00;421;EUR;169,40;8333;EUR;47,50;11266;EUR;15,80;137057;EUR;5,20;420623;EUR;1,20;
14.11.2018;12;21;23;34;38;44;24;6JP;;7370039,90;13;EUR;20704,80;237;EUR;1238,90;561;EUR;157,00;10691;EUR;45,70;13837;EUR;15,90;168626;EUR;5,20;512030;EUR;1,20;
18.11.2018;2;4;9;14;41;44;18;7JP;;10248073,00;5;EUR;79145,90;317;EUR;1361,80;797;EUR;162,40;15451;EUR;46,50;20910;EUR;15,40;253798;EUR;5,10;737535;EUR;1,20;
21.11.2018;20;25;29;32;37;44;43;1;EUR;14926157,30;20;EUR;32161,80;516;EUR;1359,90;1167;EUR;180,30;23348;EUR;50,00;30349;EUR;17,30;385237;EUR;5,40;1227834;EUR;1,20;
25.11.2018;9;10;29;31;38;43;12;JP;;819727,50;3;EUR;37570,80;74;EUR;1661,60;239;EUR;154,30;3918;EUR;52,30;5795;EUR;15,90;67185;EUR;5,50;233079;EUR;1,20;
28.11.2018;9;10;17;18;28;40;35;DJP;;1746446,30;3;EUR;42474,60;111;EUR;1252,30;260;EUR;160,30;5601;EUR;41,30;6678;EUR;15,60;89519;EUR;4,60;221481;EUR;1,20;
02.12.2018;6;15;17;18;40;43;10;3JP;;2947099,60;1;EUR;165089,80;102;EUR;1765,60;344;EUR;157,00;5712;EUR;52,50;9201;EUR;14,60;99022;EUR;5,40;340231;EUR;1,20;
05.12.2018;15;16;17;20;21;25;23;4JP;;4302736,50;3;EUR;62133,30;167;EUR;1217,60;421;EUR;144,90;6718;EUR;50,40;9169;EUR;16,60;111210;EUR;5,50;358056;EUR;1,20;
09.12.2018;15;16;35;38;41;42;19;1;EUR;5855408,70;6;EUR;35582,00;159;EUR;1464,70;376;EUR;185,80;7298;EUR;53,10;9907;EUR;17,60;125630;EUR;5,50;445905;EUR;1,20;
12.12.2018;8;9;14;26;27;34;16;JP;;751657,10;JP;;103352,80;85;EUR;1326,40;270;EUR;125,20;4237;EUR;44,30;6590;EUR;12,80;70893;EUR;4,70;183351;EUR;1,20;
16.12.2018;8;12;21;24;36;44;31;1;EUR;1798416,70;3;EUR;82427,40;127;EUR;1236,30;325;EUR;144,90;6230;EUR;42,00;7705;EUR;15,20;96339;EUR;4,90;250672;EUR;1,20;
19.12.2018;3;11;20;29;39;44;38;2;EUR;500000,00;6;EUR;16991,70;118;EUR;942,50;218;EUR;153,00;4678;EUR;39,60;4984;EUR;16,70;69627;EUR;4,80;176583;EUR;1,20;
23.12.2018;19;27;28;34;35;44;18;JP;;878230,60;3;EUR;40252,20;79;EUR;1667,50;214;EUR;184,60;4213;EUR;52,10;5469;EUR;18,00;71351;EUR;5,50;224944;EUR;1,20;
26.12.2018;13;16;22;26;29;36;43;1;EUR;1573634,10;2;EUR;47808,90;59;EUR;1767,90;200;EUR;156,40;3659;EUR;47,50;5075;EUR;15,40;60597;EUR;5,10;172089;EUR;1,20;
30.12.2018;4;7;8;12;14;44;10;JP;;852793,10;3;EUR;39086,30;121;EUR;1057,10;395;EUR;97,10;5552;EUR;38,40;8748;EUR;10,90;85425;EUR;4,50;237762;EUR;1,20;
